time="2022-11-06T13:57:39+05:00" level=info msg="Starting server on port:" func="main.main()" file="main.go:25"
time="2022-11-06T14:00:29+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:30"
time="2022-11-06T14:26:12+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:43"
time="2022-11-06T14:52:15+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T15:26:37+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T15:28:41+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T15:30:01+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T15:47:28+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T15:48:17+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T15:56:04+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:05:35+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:06:57+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:18:15+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:20:35+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:21:34+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:23:56+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:24:10+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:25:16+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:25:44+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T16:26:18+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:11:34+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:12:09+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:14:39+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:18:13+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:19:59+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:22:23+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:22:55+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-06T17:24:14+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:45:47+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:50:50+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:52:59+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:54:30+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:56:02+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:59:20+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T10:59:52+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:02:30+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:02:53+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:11:55+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:13:04+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:14:08+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:14:35+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:15:14+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:15:35+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:17:28+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:17:43+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:18:41+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:19:20+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:20:13+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:20:58+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:21:20+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T11:21:48+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T12:17:34+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
time="2022-11-07T15:28:35+05:00" level=info msg="Starting server on port:80" func="main.main()" file="main.go:42"
